Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE957367978162;Innwerk AG;Kraftwerk Egglfing-Obernberg MS5;94072;Bad F?ssing;Am Innwerk;13;Bayern;Deutschland;1950;;InBetrieb;Wasser;;Nein;Ja;13,45;13,45;Laufwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Ja;
Einzelanlage;SEE966988528885;Vattenfall Wasserkraft GmbH;PSW Geesthacht PSS C;21502;Geesthacht;Elbuferstra?e;49;SchleswigHolstein;Deutschland;1958;;InBetrieb;Pumpspeicher;;Nein;Nein;40;39,7;Pumpspeicher;Volleinspeisung;Hochspannung;Hamburger Energienetze GmbH (SNB968295079586);Nein;
Einzelanlage;SEE972475289894;Mitsubishi HiTec Paper Europe GmbH;Gasturbine 1 - GuD MPE;33699;Bielefeld;Niedernholz;23;NordrheinWestfalen;Deutschland;2005;;vorl?ufig Stillgelegt;Erdgas;ErdgasErdoelgas;Ja;Nein;14,25;14,05;GasturbinenmitnachgeschalteterDampfturbine;TeileinspeisungEigenverbrauch;UmspannungZurMittelspannung;Bielefelder Netz GmbH (SNB918516395612);Nein;
Einzelanlage;SEE976325553869;Essity Operations Mannheim GmbH;DTS 1;68305;Mannheim;Sandhofer Stra?e;176;BadenWuerttemberg;Deutschland;1966;;InBetrieb;Biomasse;;Ja;Ja;28,5;28,448;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;MVV Netze GmbH (SNB985472799266);Nein;
Einzelanlage;SEE983645175053;Uniper Kraftwerke GmbH;Ingolstadt 4;85098;Gro?mehring;Bayernwerkstra?e;30;Bayern;Deutschland;1974;;Netzreserve aufgrund ? 13b EnWG;Mineraloelprodukte;HeizoelSchwer;Nein;Nein;420;365;KondensationsmaschinemitEntnahme;Volleinspeisung;Hoechstspannung;TenneT TSO GmbH (SNB970033313272);Nein;
stillgelegte Anlagen;SEE987633796220;enercity AG;GKH 1;30419;Hannover;Stelinger Stra?e;19;Niedersachsen;Deutschland;1989;2026;endg?ltig stillgelegt nach KVBG;Steinkohle;Steinkohlen;Ja;Nein;150;136;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;enercity Netz GmbH (SNB971746988153);Nein;
Einzelanlage;SEE955978509164;Vattenfall Wasserkraft GmbH;SKW Hohenwarte 1 Maschine C;07338;Hohenwarte;Ortsstra?e;;Thueringen;Deutschland;1941;;InBetrieb;Wasser;;Nein;Ja;4;3,88;Speicherwasseranlage;Volleinspeisung;Hochspannung;TEN Th?ringer Energienetze GmbH & Co. KG (SNB970821959712);Nein;
Einzelanlage;SEE961284659301;Uniper Kraftwerke GmbH;Obernach F1;82432;Walchensee;Einsiedl;;Bayern;Deutschland;1955;;InBetrieb;Wasser;;Nein;Ja;6,4;6,4;Laufwasseranlage;Volleinspeisung;Mittelspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE929826629465;FFR Fernw?rmeversorgung Flugplatz Ramstein;BHKW Ramstein;66877;Ramstein-Miesenbach;Reichswaldstra?e;9;RheinlandPfalz;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;12,9;12,75;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Pfalzwerke Netz AG (SNB961471621746);Nein;
Einzelanlage;SEE929915888797;Uniper Kraftwerke GmbH;Urspring K(Ro) 1;86983;Lechbruck;Via Claudia;;Bayern;Deutschland;1966;;InBetrieb;Wasser;;Nein;Ja;4;3,366;Laufwasseranlage;Volleinspeisung;Hochspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
