nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,name_KW,energietraeger,nr_KW
SEE972635175418,ABR914764874992,Wasser,"SEE909678604209, SEE972635175418",Kinsau K(Ro)2,Volleinspeisung,4200,86981,Landsberg am Lech,Kinsau,Apfeldorfer Straße,16,Bayern,10.9227,47.8757,1992,NA,FALSE,NA,Laufwasseranlage,NA
SEE966268586802,ABR914764874992,Wasser,SEE966268586802,Klein Kinsau K1,Volleinspeisung,1500,86981,Landsberg am Lech,Kinsau,Apfeldorfer Straße,16,Bayern,10.9221,47.8726,1992,NA,FALSE,NA,Laufwasseranlage,NA
SEE964721515031,ABR914764874992,Wasser,"SEE964721515031, SEE988114672156, SEE924169304048",Kaufering K(Ro)1,Volleinspeisung,6100,86916,Landsberg am Lech,Kaufering,Lechfeldwiesen,NA,Bayern,10.8619,48.1139,1975,NA,FALSE,NA,Laufwasseranlage,NA
SEE988114672156,ABR914764874992,Wasser,"SEE964721515031, SEE988114672156, SEE924169304048",Kaufering K(Ro)2,Volleinspeisung,6100,86916,Landsberg am Lech,Kaufering,Lechfeldwiesen,NA,Bayern,10.8619,48.1139,1975,NA,FALSE,NA,Laufwasseranlage,NA
SEE924169304048,ABR914764874992,Wasser,"SEE964721515031, SEE988114672156, SEE924169304048",Kaufering K(Ro)3,Volleinspeisung,6100,86916,Landsberg am Lech,Kaufering,Lechfeldwiesen,NA,Bayern,10.8619,48.1139,1975,NA,FALSE,NA,Laufwasseranlage,NA
SEE932109633288,ABR914764874992,Wasser,"SEE932109633288, SEE948263410344, SEE972467909069",Schwabstadl K(Ro)1,Volleinspeisung,4300,86937,Landsberg am Lech,Scheuring,Zollhaus,NA,Bayern,10.8673,48.1484,1981,NA,FALSE,NA,Laufwasseranlage,NA
SEE948263410344,ABR914764874992,Wasser,"SEE932109633288, SEE948263410344, SEE972467909069",Schwabstadl K(Ro)2,Volleinspeisung,4300,86937,Landsberg am Lech,Scheuring,Zollhaus,NA,Bayern,10.8673,48.1484,1981,NA,FALSE,NA,Laufwasseranlage,NA
SEE972467909069,ABR914764874992,Wasser,"SEE932109633288, SEE948263410344, SEE972467909069",Schwabstadl K(Ro)3,Volleinspeisung,4300,86937,Landsberg am Lech,Scheuring,Zollhaus,NA,Bayern,10.8673,48.1484,1981,NA,FALSE,NA,Laufwasseranlage,NA
SEE930232746332,ABR914764874992,Wasser,"SEE930232746332, SEE907294548426, SEE927477486369",Scheuring K(Ro)1,Volleinspeisung,4500,86937,Landsberg am Lech,Scheuring,NA,NA,Bayern,10.8836,48.1803,1980,NA,FALSE,NA,Laufwasseranlage,NA
SEE907294548426,ABR914764874992,Wasser,"SEE930232746332, SEE907294548426, SEE927477486369",Scheuring K(Ro)2,Volleinspeisung,4500,86937,Landsberg am Lech,Scheuring,NA,NA,Bayern,10.8836,48.1803,1980,NA,FALSE,NA,Laufwasseranlage,NA
SEE927477486369,ABR914764874992,Wasser,"SEE930232746332, SEE907294548426, SEE927477486369",Scheuring K(Ro)3,Volleinspeisung,4500,86937,Landsberg am Lech,Scheuring,NA,NA,Bayern,10.8836,48.1803,1980,NA,FALSE,NA,Laufwasseranlage,NA
SEE973546643669,ABR914764874992,Wasser,"SEE973546643669, SEE975578379660, SEE907339611450",Prittriching K(Ro)1,Volleinspeisung,4100,86931,Landsberg am Lech,Prittriching,Lechstraße,16,Bayern,10.9048,48.2105,1984,NA,FALSE,NA,Laufwasseranlage,NA
SEE975578379660,ABR914764874992,Wasser,"SEE973546643669, SEE975578379660, SEE907339611450",Prittriching K(Ro)2,Volleinspeisung,4100,86931,Landsberg am Lech,Prittriching,Lechstraße,16,Bayern,10.9048,48.2105,1984,NA,FALSE,NA,Laufwasseranlage,NA
SEE907339611450,ABR914764874992,Wasser,"SEE973546643669, SEE975578379660, SEE907339611450",Prittriching K(Ro)3,Volleinspeisung,4100,86931,Landsberg am Lech,Prittriching,Lechfeldstraße,16,Bayern,10.9048,48.2105,1984,NA,FALSE,NA,Laufwasseranlage,NA
SEE909007092769,ABR914764874992,Wasser,"SEE909007092769, SEE935359739632, SEE996794687834",Merching K(Ro)1,Volleinspeisung,4500,86504,Aichach-Friedberg,Merching,Friedenaustraße,NA,Bayern,10.9374,48.2659,1978,NA,FALSE,Merching,Laufwasseranlage,NA
SEE935359739632,ABR914764874992,Wasser,"SEE909007092769, SEE935359739632, SEE996794687834",Merching K(Ro)3,Volleinspeisung,4500,86504,Aichach-Friedberg,Merching,Friedenaustraße,NA,Bayern,10.9374,48.2659,1978,NA,FALSE,Merching,Laufwasseranlage,NA
SEE966899497201,ABR914764874992,Wasser,"SEE966899497201, SEE940987834352, SEE987122619900, SEE935021701530, SEE967947956008, SEE901618758560",Finsing K1,Volleinspeisung,2157,85464,Erding,Finsing,Seestraße,3,Bayern,11.7997,48.2217,1924,NA,FALSE,NA,Laufwasseranlage,NA
SEE940987834352,ABR914764874992,Wasser,"SEE966899497201, SEE940987834352, SEE987122619900, SEE935021701530, SEE967947956008, SEE901618758560",Finsing K2,Volleinspeisung,2157,85464,Erding,Finsing,Seestraße,3,Bayern,11.7997,48.2217,1924,NA,FALSE,NA,Laufwasseranlage,NA
SEE950590148739,ABR959423059587,Wasser,SEE950590148739,Praterkraftwerk Gen1,Volleinspeisung,2500,80538,München,München,Widenmayerstraße,NA,Bayern,11.59106,48.13774,2010,NA,FALSE,Praterkraftwerk,Laufwasseranlage,NA
SEE967947956008,ABR914764874992,Wasser,"SEE966899497201, SEE940987834352, SEE987122619900, SEE935021701530, SEE967947956008, SEE901618758560",Finsing K3,Volleinspeisung,1504,85464,Erding,Finsing,Seestraße,3,Bayern,11.7997,48.2217,1924,NA,FALSE,NA,Laufwasseranlage,NA
SEE964547669994,ABR914764874992,Wasser,"SEE964547669994, SEE911141860432, SEE907623234099, SEE929896845130, SEE988531591306, SEE916044649719",Finsterau Pr(AF)1,Volleinspeisung,1300,86956,Weilheim-Schongau,Schongau,Rösenau,4,Bayern,10.9285,47.8341,1950,NA,FALSE,Finsterau,Laufwasseranlage,NA
SEE911141860432,ABR914764874992,Wasser,"SEE964547669994, SEE911141860432, SEE907623234099, SEE929896845130, SEE988531591306, SEE916044649719",Finsterau Pr(AF)2,Volleinspeisung,1300,86956,Weilheim-Schongau,Schongau,Rösenau,4,Bayern,10.9285,47.8341,1950,NA,FALSE,Finsterau,Laufwasseranlage,NA
SEE900419589533,ABR914764874992,Wasser,"SEE900419589533, SEE973320889771, SEE993345571505, SEE948303973549, SEE988199618315, SEE927287823132",Sperber Pr(AF)1,Volleinspeisung,1200,86978,Weilheim-Schongau,Hohenfurch,Am Lech,14,Bayern,10.9236,47.8621,1947,NA,FALSE,Sperber,Laufwasseranlage,NA
SEE973320889771,ABR914764874992,Wasser,"SEE900419589533, SEE973320889771, SEE993345571505, SEE948303973549, SEE988199618315, SEE927287823132",Sperber Pr(AF)2,Volleinspeisung,1200,86978,Weilheim-Schongau,Hohenfurch,Am Lech,14,Bayern,10.9236,47.8621,1947,NA,FALSE,NA,Laufwasseranlage,NA
SEE982564834379,ABR914764874992,Wasser,"SEE959715874706, SEE992196002671, SEE982564834379, SEE980276191377, SEE945845418224, SEE907673676115, SEE954199811421",Altheim K1,Volleinspeisung,5718,84051,Landshut,Essenbach,Kraftwerkstraße,22,Bayern,12.2181,48.5836,1951,NA,FALSE,Altheim,Laufwasseranlage,NA
