nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,name_KW,nr_KW
SEE972436810921,ABR936920060308,Stromspeichereinheit,NA,BESS SPAU,Volleinspeisung,3440,86853,Augsburg,Langerringen,Senderstraße,990,Bayern,10.699143,48.098573,2026,NA,FALSE,Batterie,NA,NA
SEE977449488969,ABR937633600348,Stromspeichereinheit,SEE977449488969,Augsutusburg 1 Speicher,Volleinspeisung,8780,09573,Mittelsachsen,Augustusburg,NA,NA,Sachsen,13.11155,50.834467,2025,NA,FALSE,Batterie,NA,NA
SEE900392059269,ABR902428166637,Stromspeichereinheit,NA,PASM Großspeicher Bamberg II (Pixii),Volleinspeisung,4000,96050,Bamberg,Bamberg,Gutenbergstraße,13,Bayern,10.925835,49.883353,2026,NA,FALSE,Batterie,NA,NA
SEE906829671271,ABR924751228523,Stromspeichereinheit,NA,EnerGrid Stabilizer 301 GmbH,Volleinspeisung,2850,41812,Heinsberg,Erkelenz,NA,NA,Nordrhein-Westfalen,6.237,51.0679,2026,NA,FALSE,Batterie,NA,NA
SEE926372513538,ABR941807947283,Stromspeichereinheit,SEE926372513538,PV Lawitz Gewerbegebiet Batterie,Volleinspeisung,3600,15898,Oder-Spree,Lawitz,NA,NA,Brandenburg,14.642789,52.112762,2026,NA,FALSE,Batterie,NA,NA
SEE971106325628,NA,Stromspeichereinheit,NA,Speicher 1 Atting,Volleinspeisung,1600,94315,Straubing-Bogen,Straubing,NA,NA,Bayern,12.50783,48.87515,2025,2026,TRUE,Batterie,NA,NA
SEE985252121928,ABR993258699907,Stromspeichereinheit,NA,GEPVOLT 2 BATTERY GmbH,Volleinspeisung,12000,03130,Spree-Neiße,Spremberg,An der alten Ziegelei,1,Brandenburg,14.36572,51.53377,2026,NA,FALSE,Batterie,NA,NA
SEE939563445327,ABR935272858311,Stromspeichereinheit,NA,BESS Hauzenberg,Volleinspeisung,4472,94051,Passau,Hauzenberg,NA,NA,Bayern,13.68381,48.63258,2027,NA,FALSE,Batterie,NA,NA
SEE921539890828,ABR967705693060,Stromspeichereinheit,NA,Batteriespeicher,Volleinspeisung,1500,85625,Ebersberg,Baiern,Weiterskirchen,7,Bayern,11.903682,47.973175,2026,NA,FALSE,Batterie,NA,NA
SEE940654841652,ABR931557435161,Stromspeichereinheit,NA,SGE Duisburg-Walsum,Volleinspeisung,47000,47179,Duisburg,Duisburg,NA,NA,Nordrhein-Westfalen,6.718977,51.528026,2026,NA,FALSE,Batterie,NA,NA
SEE954347362607,ABR982320839334,Stromspeichereinheit,NA,BESS Hengersberg,Teileinspeisung (einschließlich Eigenverbrauch),1600,94491,Deggendorf,Hengersberg,Scharwächterstraße,5,Bayern,13.047439,48.769903,2026,NA,FALSE,Batterie,NA,NA
SEE988897398533,ABR987275595588,Stromspeichereinheit,NA,Batterie DGF,Volleinspeisung,1656,84130,Dingolfing-Landau,Dingolfing,Straubinger Straße,20,Bayern,12.487177,48.650542,2025,NA,FALSE,Batterie,NA,NA
SEE929268767145,ABR909427472424,Stromspeichereinheit,NA,Batteriespeicher 1 Frotzersricht,Volleinspeisung,3126,92521,Schwandorf,Schwarzenfeld,Frotzersricht,NA,Bayern,12.115739,49.398709,2025,NA,FALSE,Batterie,NA,NA
SEE974038381946,ABR954274120745,Stromspeichereinheit,NA,BESS Krumpa I,Volleinspeisung,50940,06242,Saalekreis,Krumpa,NA,NA,Sachsen-Anhalt,11.847691,51.289113,2026,NA,FALSE,Batterie,NA,NA
SEE960369932407,ABR972526817854,Stromspeichereinheit,NA,Quantum-Batterie-Lingen,Teileinspeisung (einschließlich Eigenverbrauch),2500,49809,Emsland,Lingen,Schüttorfer Straße,4,Niedersachsen,7.319417,52.505691,2025,NA,FALSE,Batterie,NA,NA
SEE909988646203,ABR940197536718,Stromspeichereinheit,NA,SMAREG14 Lößnitz,Volleinspeisung,9800,08294,Erzgebirgskreis,Lößnitz,Ernst-Geßner-Straße,6,Sachsen,12.718513,50.617029,2026,NA,FALSE,Batterie,NA,NA
SEE971311131281,ABR938933890415,Stromspeichereinheit,SEE971311131281,SP Sigmaringen/Gutenstein-Reisen Speicher,Volleinspeisung,4600,72488,Sigmaringen,Sigmaringen,NA,NA,Baden-Württemberg,9.1,48.06,2026,NA,FALSE,Batterie,NA,NA
SEE955306125264,ABR938933890415,Stromspeichereinheit,SEE955306125264,SP Geislingen Speicher,Volleinspeisung,4600,72351,Zollernalbkreis,Geislingen,NA,NA,Baden-Württemberg,8.8,48.3,2026,NA,FALSE,Batterie,NA,NA
SEE903155153303,ABR954506016945,Stromspeichereinheit,SEE903155153303,PV-Speicher Oberbränderstraße 71,Teileinspeisung (einschließlich Eigenverbrauch),2660,79871,Breisgau-Hochschwarzwald,Eisenbach,Oberbränder Straße,71,Baden-Württemberg,8.298398,47.950035,2025,NA,FALSE,Batterie,NA,NA
SEE971976373965,ABR938933890415,Stromspeichereinheit,SEE971976373965,Solarpark Adelsheim Speicher,Volleinspeisung,4600,74740,Neckar-Odenwald-Kreis,Adelsheim,NA,NA,Baden-Württemberg,9.371415,49.39993,2026,NA,FALSE,Batterie,NA,NA
SEE905374741712,ABR938933890415,Stromspeichereinheit,SEE905374741712,SP Görlsdorf Speicher,Volleinspeisung,9200,15306,Märkisch-Oderland,Vierlinden,NA,NA,Brandenburg,14.29,52.53,2026,NA,FALSE,Batterie,NA,NA
SEE948513197681,ABR938933890415,Stromspeichereinheit,SEE948513197681,Solarpark Gundelsheim Speicher,Volleinspeisung,1350,74831,Heilbronn,Gundelsheim,NA,NA,Baden-Württemberg,9.15,49.33,2026,NA,FALSE,Batterie,NA,NA
SEE909908219982,ABR966765833386,Stromspeichereinheit,NA,BESS - DE - ARZBERG - GMRO,Volleinspeisung,50500,95659,Wunsiedel i. Fichtelgebirge,Arzberg,Garmersreuth,NA,Bayern,12.142956999999999,50.056513,2025,NA,FALSE,Batterie,NA,NA
SEE971815239520,ABR966765833386,Stromspeichereinheit,NA,BESS - DE - ARZBERG - GMRW,Volleinspeisung,50500,95659,Wunsiedel i. Fichtelgebirge,Arzberg,Garmersreuth,NA,Bayern,12.142956999999999,50.056513,2025,NA,FALSE,Batterie,NA,NA
SEE979508522409,ABR907623809891,Stromspeichereinheit,NA,Batteriespeicher Westerwälder Holzwerke GmbH,Teileinspeisung (einschließlich Eigenverbrauch),1400,57520,Westerwaldkreis,Langenbach,Schulweg,8,Rheinland-Pfalz,7.931745,50.700216,2025,NA,FALSE,Batterie,NA,NA
SEE922796742127,ABR938933890415,Stromspeichereinheit,SEE922796742127,SP Elzhausen Speicher,Volleinspeisung,9200,74542,Schwäbisch Hall,Braunsbach,NA,NA,Baden-Württemberg,9.82,49.22,2026,NA,FALSE,Batterie,NA,NA
SEE990813051415,ABR963070207239,Stromspeichereinheit,SEE990813051415,SP Lauenhagen Speicher,Volleinspeisung,9200,17258,Mecklenburgische Seenplatte,Feldberger Seenlandschaft,NA,NA,Mecklenburg-Vorpommern,13.41,53.31,2026,NA,FALSE,Batterie,NA,NA
SEE976277141435,ABR938933890415,Stromspeichereinheit,SEE976277141435,SP Rehfeld Speicher,Volleinspeisung,9200,04895,Elbe-Elster,Rehfeld,NA,NA,Brandenburg,13.22,51.57,2026,NA,FALSE,Batterie,NA,NA
SEE945378101358,ABR948497366233,Stromspeichereinheit,NA,VPI Bad Wildungen BESS,Volleinspeisung,17000,34537,Waldeck-Frankenberg,Bad Wildungen,NA,NA,Hessen,9.157365,51.124376,2026,NA,FALSE,Batterie,NA,NA
SEE999239610039,ABR995234977986,Stromspeichereinheit,SEE999239610039,trlyr 8,Volleinspeisung,20190,49429,Vechta,Visbek,Wöstendöllen,129,Niedersachsen,8.355156,52.809278,2026,NA,FALSE,Batterie,NA,NA
SEE945555497007,ABR980325142336,Stromspeichereinheit,SEE945555497007,BESS Solarpark Kropp,Volleinspeisung,5000,24848,Schleswig-Flensburg,Kropp,NA,NA,Schleswig-Holstein,9.52171,54.433439,2026,NA,FALSE,Batterie,NA,NA
SEE946632109158,ABR934227154928,Stromspeichereinheit,NA,1.BEN - Batterie- und Energiepark Nord,Volleinspeisung,90000,25923,Nordfriesland,Ellhöft,NA,NA,Schleswig-Holstein,8.951213,54.894851,2026,NA,FALSE,Batterie,NA,NA
SEE940832671422,ABR993813431881,Stromspeichereinheit,NA,BESS Damnatz I,Volleinspeisung,1200,29472,Lüchow-Dannenberg,Damnatz,NA,NA,Niedersachsen,11.180812,53.121432,2026,NA,FALSE,Batterie,NA,NA
SEE962672626011,ABR958031001681,Stromspeichereinheit,NA,Leipheim_BESS_1150kW,Volleinspeisung,1150,89340,Günzburg,Leipheim,An der Werft,2,Bayern,10.23708,48.439219,2025,NA,FALSE,Batterie,NA,NA
SEE970241367166,ABR951358271171,Stromspeichereinheit,NA,MS_01_4500_Brugg,Volleinspeisung,4500,88167,Lindau (Bodensee),Gestratz,Brugg,1,Bayern,9.984908,47.653745,2026,NA,FALSE,Batterie,NA,NA
SEE940680212853,ABR928156295890,Stromspeichereinheit,NA,Icecreek Energy Alsdorf,Volleinspeisung,9600,52477,Städteregion Aachen,Alsdorf,Maurerstraße,50,Nordrhein-Westfalen,6.188966,50.879646,2025,NA,FALSE,Batterie,NA,NA
SEE947245249934,ABR903690099142,Stromspeichereinheit,NA,Batteriespeicher Reisgang,Volleinspeisung,15120,85276,Pfaffenhofen a.d. Ilm,Hettenshausen,NA,NA,Bayern,11.51052,48.50848,2026,NA,FALSE,Batterie,NA,NA
SEE930014441561,ABR924410946720,Stromspeichereinheit,SEE930014441561,Freifläche Wiesen - Speicher,Teileinspeisung (einschließlich Eigenverbrauch),1100,63831,Aschaffenburg,Wiesen,NA,NA,Bayern,9.22,50.065,2025,NA,FALSE,Batterie,NA,NA
SEE908542160315,ABR973319622440,Stromspeichereinheit,NA,10015 Bielefeld-Batterie,Volleinspeisung,1500,33609,Bielefeld,Bielefeld,Eckendorfer Straße,1,Nordrhein-Westfalen,8.54434,52.031314,2025,NA,FALSE,Batterie,NA,NA
