ort,landkreis,plz,Bundesland,Paragraph,Revier
Straupitz (Spreewald),Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Stubbendorf,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Südharz,Landkreis Mansfeld-Südharz,06536,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Südliches Anhalt,Landkreis Anhalt-Bitterfeld,06369,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Südliches Anhalt,Landkreis Anhalt-Bitterfeld,06386,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Südliches Anhalt,Landkreis Anhalt-Bitterfeld,06388,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Sukow-Levitzow,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Sulzbach/Saar,Regionalverband Saarbrücken,66280,Saarland,§11/12,Steinkohlenbergbaugebiete
Süpplingen,Landkreis Helmstedt,38373,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Süpplingenburg,Landkreis Helmstedt,38376,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Tarnow,Landkreis Rostock,18249,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Taucha,Landkreis Nordsachsen,04425,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Tauer,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Teichland,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Tessin,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Teterow,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Tettau,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Teuchern,Burgenlandkreis,06682,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Teupitz,Landkreis Dahme-Spreewald,15755,Brandenburg,§2,Lausitzer Braunkohlerevier
Teutschenthal,Saalekreis,06179,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Thallwitz,Landkreis Leipzig,04808,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Thelkow,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Thonhausen,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Thulendorf,Landkreis Rostock,18184,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Thürkow,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Titz,Kreis Düren,52445,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Torgau,Landkreis Nordsachsen,04860,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Torgau,Landkreis Nordsachsen,04861,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Treben,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Trebendorf - Trjebin,Landkreis Görlitz,02959,Sachsen,§2,Lausitzer Braunkohlerevier
Trebsen/Mulde,Landkreis Leipzig,04687,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Tröbitz,Landkreis Elbe-Elster,03253,Brandenburg,§2,Lausitzer Braunkohlerevier
Trossin,Landkreis Nordsachsen,04880,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Tschernitz,Landkreis Spree-Neiße,03130,Brandenburg,§2,Lausitzer Braunkohlerevier
Turnow-Preilack,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Übach-Palenberg,Kreis Heinsberg,52531,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Überherrn,Landkreis Saarlouis,66802,Saarland,§11/12,Steinkohlenbergbaugebiete
Uebigau-Wahrenbrück,Landkreis Elbe-Elster,04895,Brandenburg,§2,Lausitzer Braunkohlerevier
Uebigau-Wahrenbrück,Landkreis Elbe-Elster,04924,Brandenburg,§2,Lausitzer Braunkohlerevier
Uebigau-Wahrenbrück,Landkreis Elbe-Elster,04938,Brandenburg,§2,Lausitzer Braunkohlerevier
Unna,Kreis Unna,59423,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Unna,Kreis Unna,59425,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Unna,Kreis Unna,59427,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Unterspreewald,Landkreis Dahme-Spreewald,15910,Brandenburg,§2,Lausitzer Braunkohlerevier
Velpke,Landkreis Helmstedt,38458,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Vetschau/Spreewald,Landkreis Oberspreewald-Lausitz,03226,Brandenburg,§2,Lausitzer Braunkohlerevier
Vettweiß,Kreis Düren,52391,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Vierkirchen,Landkreis Görlitz,02894,Sachsen,§2,Lausitzer Braunkohlerevier
Völklingen,Regionalverband Saarbrücken,66333,Saarland,§11/12,Steinkohlenbergbaugebiete
Vollmershain,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Vorbeck,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wachau,Landkreis Bautzen,01454,Sachsen,§2,Lausitzer Braunkohlerevier
Wadgassen,Landkreis Saarlouis,66787,Saarland,§11/12,Steinkohlenbergbaugebiete
Waldfeucht,Kreis Heinsberg,52525,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Waldhufen,Landkreis Görlitz,02906,Sachsen,§2,Lausitzer Braunkohlerevier
Walkendorf,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wallerfangen,Landkreis Saarlouis,66798,Saarland,§11/12,Steinkohlenbergbaugebiete
Wallhausen,Landkreis Mansfeld-Südharz,06528,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Warberg,Landkreis Helmstedt,38378,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Wardow,Landkreis Rostock,18299,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Warnkenhagen,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Warnow,Landkreis Rostock,18249,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wassenberg,Kreis Heinsberg,41849,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Wegberg,Kreis Heinsberg,41844,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Weilerswist,Kreis Euskirchen,53919,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Weißenberg - Wóspork,Landkreis Bautzen,02627,Sachsen,§2,Lausitzer Braunkohlerevier
Weißenfels,Burgenlandkreis,06667,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Weißenfels,Burgenlandkreis,06688,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Weißkeißel – Wuskidź,Landkreis Görlitz,02957,Sachsen,§2,Lausitzer Braunkohlerevier
Weißwasser/O.L. - Běła Woda,Landkreis Görlitz,02943,Sachsen,§2,Lausitzer Braunkohlerevier
Welzow,Landkreis Spree-Neiße,03119,Brandenburg,§2,Lausitzer Braunkohlerevier
