ort,landkreis,plz,Bundesland,Paragraph,Revier
Aachen,Städteregion Aachen,52062,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52064,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52066,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52068,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52070,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52072,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52074,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52076,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52078,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52080,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Admannshagen-Bargeshagen,Landkreis Rostock,18211,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Ahlsdorf,Landkreis Mansfeld-Südharz,06313,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aken (Elbe),Landkreis Anhalt-Bitterfeld,06385,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aken (Elbe),Landkreis Anhalt-Bitterfeld,06386,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aldenhoven,Kreis Düren,52457,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Allstedt,Landkreis Mansfeld-Südharz,06542,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Alsdorf,Städteregion Aachen,52477,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Alt Bukow,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Altdöbern,Landkreis Oberspreewald-Lausitz,03229,Brandenburg,§2,Lausitzer Braunkohlerevier
Altenburg,Landkreis Altenburger Land,04600,Thüringen,§11/12,Steinkohlenbergbaugebiete
Altkalen,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Alt Sührkow,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Alt Zauche-Wußwerk,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Am Salzhaff,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
An der Poststraße,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Arnsdorf,Landkreis Bautzen,01477,Sachsen,§2,Lausitzer Braunkohlerevier
Arnstein,Landkreis Mansfeld-Südharz,06456,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Arzberg,Landkreis Nordsachsen,04886,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Bibra,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bad Doberan,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bad Düben,Landkreis Nordsachsen,04849,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Dürrenberg,Saalekreis,06231,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bad Lausick,Landkreis Leipzig,04651,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04895,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04924,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04931,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Münstereifel,Kreis Euskirchen,53902,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bad Muskau - Mužakow,Landkreis Görlitz,02953,Sachsen,§2,Lausitzer Braunkohlerevier
Baesweiler,Städteregion Aachen,52499,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bahrdorf,Landkreis Helmstedt,38459,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Balgstädt,Burgenlandkreis,06632,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Barnstädt,Saalekreis,06268,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bartenshagen-Parkentin,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bastorf,Landkreis Rostock,18230,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Baumgarten,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bautzen - Budyšin,Landkreis Bautzen,02625,Sachsen,§2,Lausitzer Braunkohlerevier
Bedburg,Rhein-Erft-Kreis,50181,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Behren-Lübchin,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Beiersdorf,Landkreis Görlitz,02736,Sachsen,§2,Lausitzer Braunkohlerevier
Beierstedt,Landkreis Helmstedt,38382,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Beilrode,Landkreis Nordsachsen,04886,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Belgern-Schildau,Landkreis Nordsachsen,04874,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Belgern-Schildau,Landkreis Nordsachsen,04889,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Belgershain,Landkreis Leipzig,04683,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Benitz,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Benndorf,Landkreis Mansfeld-Südharz,06308,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bennewitz,Landkreis Leipzig,04828,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bentwisch,Landkreis Rostock,18182,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Berga,Landkreis Mansfeld-Südharz,06536,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bergheim,Rhein-Erft-Kreis,50126,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bergheim,Rhein-Erft-Kreis,50127,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bergheim,Rhein-Erft-Kreis,50129,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bergkamen,Kreis Unna,59192,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Bernitt,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bernitt,Landkreis Rostock,18249,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bernsdorf,Landkreis Bautzen,02994,Sachsen,§2,Lausitzer Braunkohlerevier
Bernstadt auf dem Eigen,Landkreis Görlitz,02748,Sachsen,§2,Lausitzer Braunkohlerevier
Bersteland,Landkreis Dahme-Spreewald,15910,Brandenburg,§2,Lausitzer Braunkohlerevier
Bertsdorf-Hörnitz,Landkreis Görlitz,02763,Sachsen,§2,Lausitzer Braunkohlerevier
Bestensee,Landkreis Dahme-Spreewald,15741,Brandenburg,§2,Lausitzer Braunkohlerevier
Biendorf,Landkreis Rostock,18230,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bischofswerda,Landkreis Bautzen,01877,Sachsen,§2,Lausitzer Braunkohlerevier
Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,06749,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,06766,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,06803,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,06808,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Blankenhagen,Landkreis Rostock,18182,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Blankenheim,Kreis Euskirchen,53945,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Blankenheim,Landkreis Mansfeld-Südharz,06528,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Böhlen,Landkreis Leipzig,04564,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bönen,Kreis Unna,59199,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Börgerende-Rethwisch,Landkreis Rostock,18211,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Borna,Landkreis Leipzig,04552,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bornstedt,Landkreis Mansfeld-Südharz,06295,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Borsdorf,Landkreis Leipzig,04451,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bous,Landkreis Saarlouis,66359,Saarland,§11/12,Steinkohlenbergbaugebiete
Boxberg/O.L. - Hamor,Landkreis Görlitz,02943,Sachsen,§2,Lausitzer Braunkohlerevier
Brandis,Landkreis Leipzig,04821,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Brandis,Landkreis Leipzig,04824,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Braunsbedra,Saalekreis,06242,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Braunsbedra,Saalekreis,06259,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Briesen,Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Bröbberow,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Broderstorf,Landkreis Rostock,18184,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bronkow,Landkreis Oberspreewald-Lausitz,03205,Brandenburg,§2,Lausitzer Braunkohlerevier
Brücken-Hackpfüffel,Landkreis Mansfeld-Südharz,06528,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Brühl,Rhein-Erft-Kreis,50321,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Burg (Spreewald),Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Burkau - Porchow,Landkreis Bautzen,01906,Sachsen,§2,Lausitzer Braunkohlerevier
Bützow,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Byhleguhre-Byhlen,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Calau,Landkreis Oberspreewald-Lausitz,03205,Brandenburg,§2,Lausitzer Braunkohlerevier
Cammin,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Carinerland,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Cavertitz,Landkreis Nordsachsen,04758,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Colditz,Landkreis Leipzig,04680,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Crinitz,Landkreis Elbe-Elster,03246,Brandenburg,§2,Lausitzer Braunkohlerevier
Crostwitz - Chrósćicy,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Cunewalde,Landkreis Bautzen,02733,Sachsen,§2,Lausitzer Braunkohlerevier
Dahlem,Kreis Euskirchen,53949,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Dahlen,Landkreis Nordsachsen,04774,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Dahmen,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Dalkendorf,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Danndorf,Landkreis Helmstedt,38461,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Delitzsch,Landkreis Nordsachsen,04509,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Demitz-Thumitz,Landkreis Bautzen,01877,Sachsen,§2,Lausitzer Braunkohlerevier
Dillingen/Saar,Landkreis Saarlouis,66763,Saarland,§11/12,Steinkohlenbergbaugebiete
Dissen-Striesow,Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Dobbin-Linstow,Landkreis Rostock,18292,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Doberlug-Kirchhain,Landkreis Elbe-Elster,03253,Brandenburg,§2,Lausitzer Braunkohlerevier
Döbern,Landkreis Spree-Neiße,03159,Brandenburg,§2,Lausitzer Braunkohlerevier
Doberschau-Gaußig - Dobruša-Huska,Landkreis Bautzen,01877,Sachsen,§2,Lausitzer Braunkohlerevier
Doberschau-Gaußig - Dobruša-Huska,Landkreis Bautzen,02633,Sachsen,§2,Lausitzer Braunkohlerevier
Doberschau-Gaußig - Dobruša-Huska,Landkreis Bautzen,02692,Sachsen,§2,Lausitzer Braunkohlerevier
Doberschütz,Landkreis Nordsachsen,04838,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Dobitschen,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Dolgen am See,Landkreis Rostock,18299,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Dommitzsch,Landkreis Nordsachsen,04880,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Dormagen,Rhein-Kreis Neuss,41539,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Dormagen,Rhein-Kreis Neuss,41540,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Dormagen,Rhein-Kreis Neuss,41541,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Dormagen,Rhein-Kreis Neuss,41542,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Drachhausen,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Drahnsdorf,Landkreis Dahme-Spreewald,15938,Brandenburg,§2,Lausitzer Braunkohlerevier
Drebkau,Landkreis Spree-Neiße,03116,Brandenburg,§2,Lausitzer Braunkohlerevier
Dreetz,Landkreis Rostock,18249,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Drehnow,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Dreiheide,Landkreis Nordsachsen,04860,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Droyßig,Burgenlandkreis,06722,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Dummerstorf,Landkreis Rostock,18196,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Düren,Kreis Düren,52349,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Düren,Kreis Düren,52351,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Düren,Kreis Düren,52353,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Düren,Kreis Düren,52355,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Dürrhennersdorf,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Ebersbach-Neugersdorf,Landkreis Görlitz,02727,Sachsen,§2,Lausitzer Braunkohlerevier
Ebersbach-Neugersdorf,Landkreis Görlitz,02730,Sachsen,§2,Lausitzer Braunkohlerevier
Eckartsberga,Burgenlandkreis,06648,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Edersleben,Landkreis Mansfeld-Südharz,06528,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Eichwalde,Landkreis Dahme-Spreewald,15732,Brandenburg,§2,Lausitzer Braunkohlerevier
Eilenburg,Landkreis Nordsachsen,04838,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Elmenhorst/Lichtenhagen,Landkreis Rostock,18107,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Elsdorf,Rhein-Erft-Kreis,50189,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Elsnig,Landkreis Nordsachsen,04880,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Elsteraue,Burgenlandkreis,06729,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Elsterheide - Halštrowska Hola,Landkreis Bautzen,02979,Sachsen,§2,Lausitzer Braunkohlerevier
Elstertrebnitz,Landkreis Leipzig,04523,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Elsterwerda,Landkreis Elbe-Elster,04910,Brandenburg,§2,Lausitzer Braunkohlerevier
Elstra - Halštrow,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Ensdorf/Saar,Landkreis Saarlouis,66806,Saarland,§11/12,Steinkohlenbergbaugebiete
Erftstadt,Rhein-Erft-Kreis,50374,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Erkelenz,Kreis Heinsberg,41812,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Eschweiler,Städteregion Aachen,52249,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Euskirchen,Kreis Euskirchen,53879,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Euskirchen,Kreis Euskirchen,53881,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Falkenberg/Elster,Landkreis Elbe-Elster,04895,Brandenburg,§2,Lausitzer Braunkohlerevier
Farnstädt,Saalekreis,06279,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Felixsee,Landkreis Spree-Neiße,03130,Brandenburg,§2,Lausitzer Braunkohlerevier
Fichtwald,Landkreis Elbe-Elster,04936,Brandenburg,§2,Lausitzer Braunkohlerevier
Finkenthal,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Finne,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Finneland,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Finsterwalde,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Fockendorf,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Forst (Lausitz) - Baršć,Landkreis Spree-Neiße,03149,Brandenburg,§2,Lausitzer Braunkohlerevier
Frankenthal,Landkreis Bautzen,01909,Sachsen,§2,Lausitzer Braunkohlerevier
Frauendorf,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Frechen,Rhein-Erft-Kreis,50226,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Frellstedt,Landkreis Helmstedt,38373,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Freyburg (Unstrut),Burgenlandkreis,06632,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Friedrichsthal,Regionalverband Saarbrücken,66299,Saarland,§11/12,Steinkohlenbergbaugebiete
Frohburg,Landkreis Leipzig,04654,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Fröndenberg/Ruhr,Kreis Unna,58730,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Gablenz - Jabłońc,Landkreis Görlitz,02953,Sachsen,§2,Lausitzer Braunkohlerevier
Gangelt,Kreis Heinsberg,52538,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Geilenkirchen,Kreis Heinsberg,52511,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Geithain,Landkreis Leipzig,04643,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Gelbensande,Landkreis Rostock,18182,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Gerbstedt,Landkreis Mansfeld-Südharz,06347,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Gerstenberg,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Gevensleben,Landkreis Helmstedt,38384,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Glasewitz,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Gleina,Burgenlandkreis,06632,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Gnewitz,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Gnoien,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Göda - Hodźij,Landkreis Bautzen,02633,Sachsen,§2,Lausitzer Braunkohlerevier
Goethestadt Bad Lauchstädt,Saalekreis,06246,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Göhren,Landkreis Altenburger Land,04603,Thüringen,§11/12,Steinkohlenbergbaugebiete
Göllnitz,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Golßen,Landkreis Dahme-Spreewald,15938,Brandenburg,§2,Lausitzer Braunkohlerevier
Göpfersdorf,Landkreis Altenburger Land,04618,Thüringen,§11/12,Steinkohlenbergbaugebiete
Gorden-Staupitz,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Görlitz,Landkreis Görlitz,02826,Sachsen,§2,Lausitzer Braunkohlerevier
Görlitz,Landkreis Görlitz,02827,Sachsen,§2,Lausitzer Braunkohlerevier
Görlitz,Landkreis Görlitz,02828,Sachsen,§2,Lausitzer Braunkohlerevier
Goseck,Burgenlandkreis,06667,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Gößnitz,Landkreis Altenburger Land,04639,Thüringen,§11/12,Steinkohlenbergbaugebiete
Graal-Müritz,Landkreis Rostock,18181,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Grafhorst,Landkreis Helmstedt,38462,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Grammow,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Grasleben,Landkreis Helmstedt,38368,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Grevenbroich,Rhein-Kreis Neuss,41515,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Grevenbroich,Rhein-Kreis Neuss,41516,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Grevenbroich,Rhein-Kreis Neuss,41517,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Grimma,Landkreis Leipzig,04668,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Gröden,Landkreis Elbe-Elster,04932,Brandenburg,§2,Lausitzer Braunkohlerevier
Groitzsch,Landkreis Leipzig,04539,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Groß Düben - Dźěwin,Landkreis Görlitz,02953,Sachsen,§2,Lausitzer Braunkohlerevier
Groß Düben - Dźěwin,Landkreis Görlitz,02959,Sachsen,§2,Lausitzer Braunkohlerevier
Großdubrau - Wulka Dubrawa,Landkreis Bautzen,02694,Sachsen,§2,Lausitzer Braunkohlerevier
Großharthau,Landkreis Bautzen,01909,Sachsen,§2,Lausitzer Braunkohlerevier
Großkmehlen,Landkreis Oberspreewald-Lausitz,01990,Brandenburg,§2,Lausitzer Braunkohlerevier
Groß Köris,Landkreis Dahme-Spreewald,15746,Brandenburg,§2,Lausitzer Braunkohlerevier
Großnaundorf,Landkreis Bautzen,01936,Sachsen,§2,Lausitzer Braunkohlerevier
Großpösna,Landkreis Leipzig,04463,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Großpostwitz/O.L. - Budestecy,Landkreis Bautzen,02692,Sachsen,§2,Lausitzer Braunkohlerevier
Großräschen,Landkreis Oberspreewald-Lausitz,01983,Brandenburg,§2,Lausitzer Braunkohlerevier
Groß Roge,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Großröhrsdorf,Landkreis Bautzen,01900,Sachsen,§2,Lausitzer Braunkohlerevier
Großrosseln,Regionalverband Saarbrücken,66352,Saarland,§11/12,Steinkohlenbergbaugebiete
Groß Schacksdorf-Simmersdorf,Landkreis Spree-Neiße,03149,Brandenburg,§2,Lausitzer Braunkohlerevier
Großschönau,Landkreis Görlitz,02779,Sachsen,§2,Lausitzer Braunkohlerevier
Großschönau,Landkreis Görlitz,02799,Sachsen,§2,Lausitzer Braunkohlerevier
Großschweidnitz,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Groß Schwiesow,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Großthiemig,Landkreis Elbe-Elster,04932,Brandenburg,§2,Lausitzer Braunkohlerevier
Groß Twülpstedt,Landkreis Helmstedt,38464,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Groß Wokern,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Groß Wüstenfelde,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Grünewald,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Guben,Landkreis Spree-Neiße,03172,Brandenburg,§2,Lausitzer Braunkohlerevier
Guhrow,Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Gülzow-Prüzen,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Güstrow,Landkreis Rostock,18273,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Guteborn,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Gutenborn,Burgenlandkreis,06712,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Gutow,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Hähnichen,Landkreis Görlitz,02923,Sachsen,§2,Lausitzer Braunkohlerevier
Hainewalde,Landkreis Görlitz,02779,Sachsen,§2,Lausitzer Braunkohlerevier
Halbe,Landkreis Dahme-Spreewald,15757,Brandenburg,§2,Lausitzer Braunkohlerevier
Haselbach,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Haselbachtal,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Heideblick,Landkreis Dahme-Spreewald,15926,Brandenburg,§2,Lausitzer Braunkohlerevier
Heideland,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Heidesee,Landkreis Dahme-Spreewald,15754,Brandenburg,§2,Lausitzer Braunkohlerevier
Heimbach,Kreis Düren,52396,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Heinersbrück,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Heinsberg,Kreis Heinsberg,52525,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Helbra,Landkreis Mansfeld-Südharz,06311,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Hellenthal,Kreis Euskirchen,53940,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Helmstedt,Landkreis Helmstedt,38350,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Helmstedt,Landkreis Helmstedt,38372,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
