nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
SEE945908806647,Herne 4,STEAG Power GmbH,Steinkohle,490,435,1989,44653,FALSE,NA,reserve,Herne,Herne,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE965768299069,Heizkraftwerk Halle-Trotha - Gasturbine,Heizkraftwerk Halle-Trotha GmbH,Erdgas,56.242,54.8325,1994,06118,FALSE,NA,NA,Halle (Saale),Halle (Saale),Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE968206101610,GT3,Smurfit Westrock Zülpich Paper GmbH,Erdgas,5.4,4.946,1997,53909,FALSE,NA,NA,Zülpich,Kreis Euskirchen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE961029163353,Trianel Kohlekraftwerk Lünen,Trianel Kohlekraftwerk Lünen GmbH & Co KG,Steinkohle,812,746,2013,44536,FALSE,NA,NA,Lünen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE963081865633,BES BEN,BES Bennewitz GmbH & Co. KG,Batteriespeicher,16.425,16.425,2018,04828,FALSE,NA,NA,Bennewitz,Landkreis Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE985107396679,Schwammenauel Maschine 1,RWE Generation Hydro GmbH,Wasser,14,14,1938,52396,FALSE,NA,NA,Heimbach,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE949799257847,Ruhrort 3,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),101,94,1963,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE973366398565,SEE PPO2,Progroup Power 2 GmbH,Abfall,21.9,19.339,2025,06792,FALSE,NA,NA,Sandersdorf-Brehna,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE959858570855,GT4,InfraLeuna GmbH,Erdgas,39,38.4,1998,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE964448645769,BMKW Delitzsch,Danpower Energie Service GmbH,Biomasse,20,18.3,2004,04509,FALSE,NA,NA,Delitzsch,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE958260519834,Mitte BHKW3 M2,Stadtwerke Duisburg AG,Erdgas,4.5,4.4,2025,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE962496130121,BEE Merseburg GmbH,BEE Merseburg GmbH,Batteriespeicher,12,12,2025,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE981067351215,Heizkraftwerk Leipzig Süd Schwarzstartbatterie 9C,Stadtwerke Leipzig GmbH,Batteriespeicher,4,3.5,2022,04279,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE996047653111,"KW TRB Bitterfeld, Bitterfeld-Wolfen, Oststr. 1",PD energy GmbH,Abfall,11.44,10,2009,06749,FALSE,NA,NA,Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE986331287955,Fab Berrenrath,RWE Power AG,Braunkohle,107,98,1992,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE989200392347,7711MKA10-GT1,Sachsenmilch Leppersdorf GmbH,Erdgas,15.45,14.885,2014,01454,FALSE,NA,NA,Radeberg,Landkreis Bautzen,Sachsen,§2,Lausitzer Braunkohlerevier
SEE971914041024,Gasturbine Basell Wesseling,Basell Polyolefine GmbH,Erdgas,51.9,51.9,1996,50389,FALSE,NA,NA,Wesseling,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE968161544286,Mitte BHKW3 M1,Stadtwerke Duisburg AG,Erdgas,4.5,4.4,2025,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE987838157994,Fenne HKV,STEAG Power GmbH,Steinkohle,236,211,1989,66333,FALSE,NA,reserve,Völklingen,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE955314088254,Weisweiler H,RWE Power AG,Braunkohle,696,656,1975,52249,FALSE,2029,KVBG,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE957262802302,Anlage 2014,Mercer Torgau GmbH & Co. KG,Biomasse,5.3,4.95,2014,04860,FALSE,NA,NA,Dreiheide,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE929090964958,FZJ_WVVZ-03.19_BHKW-3,Forschungszentrum Jülich GmbH,Erdgas,4.3,4.3,2022,52428,FALSE,NA,NA,Jülich,Kreis Düren,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE943427876363,Kraftwerk Rostock Block A,EnBW Energie Baden-Württemberg AG,Steinkohle,553,514,1994,18147,FALSE,NA,NA,Rostock,Rostock,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
SEE976826191515,MVA Hamm Turbine 2,MHB Hamm Betriebsführungsgesellschaft mbH,Abfall,8.95,6.5,1985,59075,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE994238154089,MVA Hamm Turbine 3,MHB Hamm Betriebsführungsgesellschaft mbH,Abfall,6.45,6.45,2006,59075,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE935153258285,ET HO 8,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),8,8,2012,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE945682618689,Dampfturbine Model Sachsen Papier,Model Sachsen Papier GmbH,Erdgas,16.62,16.2514,1994,04838,FALSE,NA,NA,Doberschütz,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
