nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE994486946092,ABR949076866342,Solareinheit,PVA Klevenow,Volleinspeisung,27589.005,18516,Vorpommern-Rügen,Süderholz,NA,NA,Mecklenburg-Vorpommern,13.081654,54.08931,2026,NA,FALSE,Freiflächensolaranlage,42282,NA,NA
SEE964890131407,ABR947091868549,Solareinheit,"PV NVP Varel 25119,36kWp",Volleinspeisung,25119.36,26316,Friesland,Varel,NA,NA,Niedersachsen,8.092312,53.419947,2025,NA,FALSE,Freiflächensolaranlage,56448,NA,NA
SEE973134988332,ABR912384348848,Solareinheit,Meeder-Kösfeld 1.2,Volleinspeisung,11857.21,96484,Coburg,Meeder,NA,NA,Bayern,10.928718,50.305026,2025,NA,FALSE,Freiflächensolaranlage,19262,NA,NA
SEE957417549328,ABR929631552347,Solareinheit,Solarkraftwerk Herleshof 2,Volleinspeisung,43790.49,97509,Schweinfurt,Kolitzheim,NA,NA,Bayern,10.2606,49.9153,2025,NA,FALSE,Freiflächensolaranlage,74736,NA,NA
SEE994416515473,ABR924614035008,Solareinheit,PVA Klüden,Volleinspeisung,102286.8,39638,Börde,Klüden,NA,NA,Sachsen-Anhalt,11.39263,52.417911,2025,NA,FALSE,Freiflächensolaranlage,145124,NA,NA
SEE932194875372,ABR937491002803,Solareinheit,PV Oberlinxweiler 2,Volleinspeisung,13294.52,66606,St. Wendel,St. Wendel,NA,NA,Saarland,7.161076,49.452467,2026,NA,FALSE,Freiflächensolaranlage,23478,NA,NA
SEE909361966737,ABR950407720899,Solareinheit,"APV Schwarzholz Strang 1 - 17,68 MW",Volleinspeisung,17675,39596,Stendal,Hohenberg-Krusemark,VEG,2,Sachsen-Anhalt,11.977653,52.773268,2026,NA,FALSE,Freiflächensolaranlage,27768,NA,NA
SEE933447711706,ABR933354686548,Solareinheit,Solaranlage Linslerhof II,Volleinspeisung,38036.25,66802,Saarlouis,Überherrn,NA,NA,Saarland,6.753365,49.282534,2025,NA,FALSE,Freiflächensolaranlage,60858,NA,NA
SEE953555710279,ABR950407720899,Solareinheit,"APV Schwarzholz Strang 2 - 18,29 MW",Volleinspeisung,18295.2,39596,Stendal,Hohenberg-Krusemark,VEG,2,Sachsen-Anhalt,11.983724,52.7734,2026,NA,FALSE,Freiflächensolaranlage,29064,NA,NA
SEE942241763330,ABR950407720899,Solareinheit,"APV Schwarzholz Strang 3 (PPA+EEG) 23,73 MW",Volleinspeisung,23738.4,39596,Stendal,Hohenberg-Krusemark,VEG,2,Sachsen-Anhalt,11.976342,52.760625,2026,NA,FALSE,Freiflächensolaranlage,37536,NA,NA
SEE978840873514,ABR950407720899,Solareinheit,"APV Schwarzholz 26,79 MW",Volleinspeisung,26792.64,39596,Stendal,Hohenberg-Krusemark,VEG,2,Sachsen-Anhalt,11.988172,52.774464,2025,NA,FALSE,Freiflächensolaranlage,41832,NA,NA
SEE997469693686,ABR950407720899,Solareinheit,"APV Schwarzholz 22,73 MW",Volleinspeisung,22734.36,39596,Stendal,Hohenberg-Krusemark,VEG,2,Sachsen-Anhalt,11.987096,52.763745,2025,NA,FALSE,Freiflächensolaranlage,36144,NA,NA
SEE953025337630,ABR936707114255,Solareinheit,PVA Dalchau,Volleinspeisung,37646.43,39596,Stendal,Arneburg,NA,NA,Sachsen-Anhalt,11.9984,52.701461,2025,NA,FALSE,Freiflächensolaranlage,53826,NA,NA
SEE961029270679,ABR986476947790,Solareinheit,PV-Park Goehl,Volleinspeisung,12356,23758,Ostholstein,Göhl,NA,NA,Schleswig-Holstein,10.95,54.29,2025,NA,FALSE,Freiflächensolaranlage,17526,NA,NA
