nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE967844487346,Heizkraftwerk an der Friedensbrücke GasturbineI,Stadtwerke Würzburg AG,Erdgas,ErdgasErdoelgas,51.5,51,2005,Volleinspeisung,97080,Würzburg,Veitshöchheimer Straße,1,Bayern,FALSE,NA,NA
SEE968474056711,Generator 6,Infraserv GmbH & Co. Wiesbaden KG,Erdgas,ErdgasErdoelgas,22.111,21.861,2021,Volleinspeisung,65203,Wiesbaden,Rheingaustraße,190-196,Hessen,FALSE,NA,NA
SEE923412553844,GuD Anlage DREWSEN Spezialpapiere (Dampfturbine),DREWSEN Spezialpapiere GmbH & Co. KG,Erdgas,ErdgasErdoelgas,9.28,9,2000,TeileinspeisungEigenverbrauch,29331,Lachendorf,Georg-Drewsen-Weg,2,Niedersachsen,FALSE,NA,NA
SEE923729511377,BHKW2 Chemnitzer Straße 40,Freiberger Erdgas GmbH,Erdgas,ErdgasErdoelgas,4.401,4.313,2013,TeileinspeisungEigenverbrauch,09599,Freiberg,Chemnitzer Straße,40,Sachsen,FALSE,NA,NA
SEE923959807806,Turbine 3,BASF SE,Abfall,AbfallHausmuellSiedlungsabfaelle,11.3,11.14,2006,TeileinspeisungEigenverbrauch,68169,Mannheim,Otto-Hahn-Straße,1,BadenWuerttemberg,FALSE,NA,NA
SEE925333539921,Koepchenwerk Bl.,RWE Generation SE,Pumpspeicher,NA,165,162,1989,Volleinspeisung,58313,Herdecke,Im Schiffwinkel,43,NordrheinWestfalen,FALSE,NA,NA
SEE932713248328,BMKW Wicker,Biomasse Rhein-Main GmbH,Biomasse,NA,15,12.712,2003,TeileinspeisungEigenverbrauch,65439,Flörsheim,Rhein-Main-Deponiepark,5,Hessen,FALSE,NA,NA
SEE933095868289,Batteriespeicherkraftwerk,Versorgungsbetriebe Bordesholm GmbH,Batteriespeicher,NA,15,15,2019,None,24582,Bordesholm,Bahnhofstraße,13,SchleswigHolstein,FALSE,NA,NA
SEE937878572653,Langenprozelten E F2,Donau-Wasserkraft AG,Pumpspeicher,NA,84.2,82,1976,Volleinspeisung,97737,Gemünden,Am Sindersbach,25,Bayern,FALSE,NA,NA
SEE933741679870,Dampfturbineneinheit 1,Stadt Solingen,Abfall,AbfallHausmuellSiedlungsabfaelle,5.3,2.8,1969,Volleinspeisung,42655,Solingen,Sandstraße,16a,NordrheinWestfalen,FALSE,NA,NA
SEE936690179729,BHKW1(GKWK-MA-0015),Daimler Truck AG,Erdgas,ErdgasErdoelgas,4.185,4.101,2017,TeileinspeisungEigenverbrauch,68305,Mannheim,Hanns-Martin-Schleyer-Straße,21,BadenWuerttemberg,FALSE,NA,NA
SEE918916993708,Wolfen GT,envia THERM GmbH,Erdgas,ErdgasErdoelgas,50,50,1996,Volleinspeisung,06766,Bitterfeld-Wolfen,Sensientstraße,7,SachsenAnhalt,FALSE,NA,NA
SEE919296928137,Sammelschienen-Kraftwerk Gas- und Dampfturbinen,Kraftwerk Obernburg,Erdgas,ErdgasErdoelgas,116.149,112.719,1956,Volleinspeisung,63906,Erlenbach,Glanzstoffstr.,1,Bayern,FALSE,NA,NA
SEE922767690112,Oberpeiching M1,LEW Wasserkraft,Wasser,NA,6.15,6.145,1954,TeileinspeisungEigenverbrauch,86698,Oberndorf,NA,NA,Bayern,FALSE,NA,NA
SEE925074451797,KW Laufenburg Maschine 10,naturenergie holding AG,Wasser,NA,10.6,10.442,1992,TeileinspeisungEigenverbrauch,5080,Laufenburg,Baslerstrasse,NA,NA,FALSE,NA,NA
